id	taxon_name	rank	g1_mean	Run4_P1	Run4_P2	Run4_P3	Run4_P4	Run5_P1	Run5_P2	Run5_P3	Run5_P4	Run4_P1_n_peptide	Run4_P2_n_peptide	Run4_P3_n_peptide	Run4_P4_n_peptide	Run5_P1_n_peptide	Run5_P2_n_peptide	Run5_P3_n_peptide	Run5_P4_n_peptide	Run4_P1_n_samp_children	Run4_P2_n_samp_children	Run4_P3_n_samp_children	Run4_P4_n_samp_children	Run5_P1_n_samp_children	Run5_P2_n_samp_children	Run5_P3_n_samp_children	Run5_P4_n_samp_children
1386	Bacillus	genus	27.027769643755704	27.117481590215117	27.223128896518354	26.82223441377081	27.30910573389712	26.783232349931644	26.81094436384641	26.86369560889741	27.179955418661766	90.0	89.0	88.0	90.0	87.0	88.0	86.0	85.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1423	Bacillus subtilis	species	26.5821070695454	26.661233487892282	26.81100267591237	26.271288733205516	26.930942490905746	26.28381522171836	26.34900778751497	26.412082647403246	26.770027211693296	46.0	44.0	43.0	45.0	45.0	44.0	45.0	43.0	NA	NA	NA	NA	NA	NA	NA	NA
1485	Clostridium	genus	17.173879049710724	16.0804369882554	15.85961777001995	16.446208727814945	16.59659074027848	17.02634512621977	18.05970884910258	17.72303626876735	17.888696879888837	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1678	Bifidobacterium	genus	21.184614331193423	21.732670924025022	21.38930783253524	21.05601714448121	21.041383297206295	21.503735496871535	20.883510728274487	20.60498903890568	20.927733047849078	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1684	Bifidobacterium asteroides	species	21.184614331193423	21.732670924025022	21.38930783253524	21.05601714448121	21.041383297206295	21.503735496871535	20.883510728274487	20.60498903890568	20.927733047849078	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	NA	NA	NA	NA	NA	NA	NA	NA
1760	Actinobacteria	class	21.184614331193423	21.732670924025022	21.38930783253524	21.05601714448121	21.041383297206295	21.503735496871535	20.883510728274487	20.60498903890568	20.927733047849078	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2433	Roseobacter	genus	19.243045934606837	19.230527590953166	18.990247754074836	19.0024705811471	19.39556153884358	19.434570812521862	19.318943904646613	19.118734540183894	19.377963503041556	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
3041	Chlorophyta	phylum	28.93742312248468	28.993328995259418	28.793140206065697	28.952732952438467	28.97933279158206	28.925830355366838	28.9934248755563	28.905770616344558	28.945535344331052	537.0	541.0	534.0	539.0	534.0	536.0	513.0	535.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3042	Chlamydomonadales	order	28.758578265384354	28.840203580874405	28.63946626272648	28.775144870706576	28.82050752955086	28.72894591629974	28.812247025147197	28.698857949437663	28.742044762210607	484.0	488.0	483.0	486.0	482.0	484.0	463.0	483.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3051	Chlamydomonadaceae	family	28.502942434683657	28.566716262220368	28.3251164840006	28.427897319642568	28.58916189003198	28.504354697239137	28.613198022854277	28.468638752795687	28.507221877026137	412.0	416.0	410.0	416.0	413.0	414.0	394.0	412.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3052	Chlamydomonas	genus	28.502942434683657	28.566716262220368	28.3251164840006	28.427897319642568	28.58916189003198	28.504354697239137	28.613198022854277	28.468638752795687	28.507221877026137	412.0	416.0	410.0	416.0	413.0	414.0	394.0	412.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3055	Chlamydomonas reinhardtii	species	28.320096061515233	28.378532476529895	28.125344811805313	28.216673533373832	28.460462801956954	28.298828139301822	28.453118898984037	28.266210387091718	28.329642433903846	381.0	385.0	380.0	386.0	382.0	383.0	366.0	381.0	NA	NA	NA	NA	NA	NA	NA	NA
3166	Chlorophyceae	class	28.864097937857785	28.930443179605717	28.726942055508847	28.86819071135885	28.915972964738877	28.84421667888968	28.92534893293358	28.82232277623959	28.868468595250853	515.0	519.0	514.0	517.0	512.0	515.0	492.0	514.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4890	Ascomycota	phylum	17.087752121403554	NA	17.982423226775875	15.157149925188653	14.03326210040602	18.062084094001378	18.127540990175195	14.724787743066583	16.206983996715945	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5157	Ceratocystis	genus	17.087752121403554	NA	17.982423226775875	15.157149925188653	14.03326210040602	18.062084094001378	18.127540990175195	14.724787743066583	16.206983996715945	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0
5158	Ceratocystis fimbriata	species	17.087752121403554	NA	17.982423226775875	15.157149925188653	14.03326210040602	18.062084094001378	18.127540990175195	14.724787743066583	16.206983996715945	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
5592	Microascales	order	17.087752121403554	NA	17.982423226775875	15.157149925188653	14.03326210040602	18.062084094001378	18.127540990175195	14.724787743066583	16.206983996715945	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6157	Platyhelminthes	phylum	19.008230065490864	18.317806958459176	18.422261503317237	18.645437497185867	19.1087079570767	19.400117688709912	19.196686644954163	19.10629276764	19.432992427567186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6199	Cestoda	class	19.008230065490864	18.317806958459176	18.422261503317237	18.645437497185867	19.1087079570767	19.400117688709912	19.196686644954163	19.10629276764	19.432992427567186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6201	Cyclophyllidea	order	19.008230065490864	18.317806958459176	18.422261503317237	18.645437497185867	19.1087079570767	19.400117688709912	19.196686644954163	19.10629276764	19.432992427567186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6214	Hymenolepididae	family	19.008230065490864	18.317806958459176	18.422261503317237	18.645437497185867	19.1087079570767	19.400117688709912	19.196686644954163	19.10629276764	19.432992427567186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6215	Hymenolepis	genus	19.008230065490864	18.317806958459176	18.422261503317237	18.645437497185867	19.1087079570767	19.400117688709912	19.196686644954163	19.10629276764	19.432992427567186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
6216	Hymenolepis diminuta	species	19.008230065490864	18.317806958459176	18.422261503317237	18.645437497185867	19.1087079570767	19.400117688709912	19.196686644954163	19.10629276764	19.432992427567186	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
7711	Chordata	phylum	25.433275808433866	25.95542323115	25.020254263197398	25.027043067454798	25.69722200323539	25.775470404478025	24.899047914568563	24.86795318888113	25.724283076392478	69.0	67.0	68.0	68.0	66.0	66.0	66.0	66.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9443	Primates	order	23.42933317210999	24.24711178821287	23.191019261511222	23.21815025881855	23.552000857698843	23.787090358038444	22.64115910002719	22.661643345407647	23.413570806977773	23.0	22.0	22.0	23.0	22.0	22.0	21.0	22.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
9604	Hominidae	family	22.319743646731496	22.84522201306908	22.13822529506973	22.163984691826073	22.425049056421745	22.582857599771074	21.595634683706983	21.834825603309785	22.565188166378988	10.0	10.0	9.0	10.0	10.0	10.0	9.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
