uniprot_accession	ups1_amount_fmol	ups2_amount_fmol	go
P06396	5000	5	GO:0001726,GO:0002102,GO:0003779,GO:0005509,GO:0005576,GO:0005615,GO:0005737,GO:0005829,GO:0005886,GO:0005925,GO:0006911,GO:0007568,GO:0010628,GO:0014003,GO:0014891,GO:0015629,GO:0016528,GO:0030027,GO:0030041,GO:0030155,GO:0030478,GO:0030864,GO:0031648,GO:0034774,GO:0042246,GO:0042989,GO:0043209,GO:0043312,GO:0044267,GO:0045010,GO:0045159,GO:0045335,GO:0045471,GO:0046597,GO:0048015,GO:0048471,GO:0051014,GO:0051015,GO:0051016,GO:0051127,GO:0051593,GO:0051693,GO:0060271,GO:0070062,GO:0071276,GO:0071346,GO:0071801,GO:0072562,GO:0090527,GO:0097017,GO:0097284,GO:1902174,GO:1903903,GO:1903906,GO:1903909,GO:1903923,GO:1904813,GO:1990000,GO:2001269
P09211	5000	5	GO:0000302,GO:0002674,GO:0004364,GO:0004602,GO:0005576,GO:0005615,GO:0005622,GO:0005634,GO:0005737,GO:0005739,GO:0005829,GO:0005886,GO:0006469,GO:0006749,GO:0006805,GO:0007417,GO:0008144,GO:0008432,GO:0009890,GO:0010804,GO:0014003,GO:0019207,GO:0031100,GO:0031982,GO:0032355,GO:0032691,GO:0032720,GO:0032869,GO:0032872,GO:0032873,GO:0032930,GO:0033591,GO:0034774,GO:0035726,GO:0035730,GO:0035731,GO:0035732,GO:0043066,GO:0043124,GO:0043200,GO:0043295,GO:0043312,GO:0043407,GO:0043409,GO:0043508,GO:0043651,GO:0045471,GO:0048147,GO:0051771,GO:0070026,GO:0070062,GO:0070372,GO:0070373,GO:0070664,GO:0071222,GO:0071364,GO:0071385,GO:0071460,GO:0071638,GO:0071672,GO:0097057,GO:1901687,GO:1904706,GO:1904813,GO:2001237
P01112	5000	5	GO:0000139,GO:0000165,GO:0001934,GO:0002223,GO:0003924,GO:0005525,GO:0005634,GO:0005737,GO:0005794,GO:0005829,GO:0005886,GO:0006897,GO:0006935,GO:0007050,GO:0007093,GO:0007165,GO:0007166,GO:0007265,GO:0008022,GO:0008283,GO:0008284,GO:0008285,GO:0009887,GO:0010629,GO:0010863,GO:0019003,GO:0030335,GO:0032729,GO:0034260,GO:0035900,GO:0042088,GO:0042832,GO:0043406,GO:0043410,GO:0043524,GO:0043547,GO:0045740,GO:0045944,GO:0046330,GO:0046579,GO:0048013,GO:0048169,GO:0048471,GO:0050679,GO:0050852,GO:0051291,GO:0070374,GO:0071480,GO:0090303,GO:0090314,GO:0090398,GO:0097193,GO:0098696,GO:0098978,GO:1900029,GO:2000251,GO:2000630
P01579	5000	5	GO:0000060,GO:0000122,GO:0001934,GO:0002250,GO:0005125,GO:0005133,GO:0005576,GO:0005615,GO:0005622,GO:0006915,GO:0006959,GO:0007050,GO:0007166,GO:0008284,GO:0009615,GO:0010508,GO:0010628,GO:0010629,GO:0010634,GO:0010835,GO:0030857,GO:0031334,GO:0032700,GO:0032735,GO:0032747,GO:0032834,GO:0033141,GO:0033160,GO:0034393,GO:0035722,GO:0040008,GO:0042531,GO:0045429,GO:0045589,GO:0045672,GO:0045892,GO:0048662,GO:0050796,GO:0051044,GO:0051607,GO:0051712,GO:0060333,GO:0060334,GO:0060550,GO:0060552,GO:0060557,GO:0060559,GO:0071902,GO:0090312,GO:0097191,GO:1903078,GO:1903543,GO:1904798,GO:2000309
P02787	5000	5	GO:0001895,GO:0002576,GO:0005576,GO:0005615,GO:0005769,GO:0005770,GO:0005788,GO:0005905,GO:0006879,GO:0007015,GO:0007257,GO:0008198,GO:0008199,GO:0009617,GO:0009925,GO:0009986,GO:0010008,GO:0015091,GO:0016324,GO:0030139,GO:0030316,GO:0030665,GO:0031232,GO:0031410,GO:0031647,GO:0031982,GO:0033572,GO:0034774,GO:0034986,GO:0043687,GO:0044267,GO:0045178,GO:0045780,GO:0045893,GO:0048260,GO:0048471,GO:0055037,GO:0055072,GO:0060395,GO:0061024,GO:0070062,GO:0070371,GO:0071281,GO:0072562,GO:1900390,GO:1990459,GO:1990712,GO:2000147
O00762	5000	5	GO:0000151,GO:0004842,GO:0005524,GO:0005654,GO:0005680,GO:0005737,GO:0005829,GO:0005886,GO:0006511,GO:0010458,GO:0010994,GO:0016567,GO:0030071,GO:0031145,GO:0031536,GO:0031625,GO:0044389,GO:0051301,GO:0061630,GO:0061631,GO:0070936,GO:0070979,GO:1904668
P51965	5000	5	GO:0000151,GO:0000209,GO:0004842,GO:0005524,GO:0005634,GO:0005654,GO:0005829,GO:0006511,GO:0010390,GO:0016567,GO:0031145,GO:0032020,GO:0033523,GO:0042296,GO:0061631,GO:0070936
P08758	5000	0.5	GO:0002576,GO:0004859,GO:0005509,GO:0005543,GO:0005544,GO:0005576,GO:0005622,GO:0005737,GO:0005829,GO:0005925,GO:0007165,GO:0007596,GO:0009897,GO:0010033,GO:0016020,GO:0043066,GO:0050819,GO:0062023,GO:0070062,GO:0072563
P02741	5000	0.5	GO:0001849,GO:0005509,GO:0005576,GO:0005615,GO:0006953,GO:0006954,GO:0008228,GO:0010628,GO:0010745,GO:0010888,GO:0030169,GO:0032930,GO:0033265,GO:0042802,GO:0050750,GO:0050830,GO:0097756,GO:2000482
P05413	5000	0.5	GO:0005324,GO:0005615,GO:0005829,GO:0006631,GO:0008092,GO:0008285,GO:0016528,GO:0019433,GO:0032868,GO:0036041,GO:0042493,GO:0042632,GO:0044539,GO:0046320,GO:0050543,GO:0055091,GO:0070062,GO:0070538,GO:0070542,GO:0071073,GO:2001245
P10145	5000	0.5	GO:0001525,GO:0002237,GO:0005153,GO:0005576,GO:0005615,GO:0005622,GO:0006935,GO:0006954,GO:0006955,GO:0007050,GO:0007165,GO:0007186,GO:0008009,GO:0008285,GO:0019221,GO:0019722,GO:0030155,GO:0030593,GO:0031623,GO:0031640,GO:0034976,GO:0035556,GO:0036499,GO:0042119,GO:0044344,GO:0045091,GO:0045744,GO:0045766,GO:0048566,GO:0050930,GO:0061844,GO:0070098,GO:0071222,GO:0071347,GO:0071356,GO:0090023,GO:2000535
P02788	5000	0.5	GO:0001503,GO:0001530,GO:0001817,GO:0001895,GO:0002227,GO:0003677,GO:0004252,GO:0004869,GO:0005506,GO:0005576,GO:0005615,GO:0005634,GO:0005737,GO:0006351,GO:0006811,GO:0006959,GO:0008201,GO:0009986,GO:0019730,GO:0019731,GO:0019732,GO:0030141,GO:0031640,GO:0031665,GO:0032680,GO:0032780,GO:0032991,GO:0033214,GO:0033690,GO:0034145,GO:0035580,GO:0042581,GO:0043066,GO:0043123,GO:0043312,GO:0043539,GO:0044218,GO:0044267,GO:0044793,GO:0045071,GO:0045087,GO:0045669,GO:0045837,GO:0048525,GO:0050829,GO:0050830,GO:0051092,GO:0051673,GO:0060349,GO:0061844,GO:0070062,GO:0071902,GO:0097013,GO:1900159,GO:1900229,GO:1902732,GO:1904724,GO:2000117,GO:2000308,GO:2001205
P10636-8	5000	0.5	GO:0000226,GO:0001774,GO:0003677,GO:0003680,GO:0003690,GO:0003697,GO:0003723,GO:0003779,GO:0005576,GO:0005622,GO:0005634,GO:0005737,GO:0005739,GO:0005829,GO:0005874,GO:0005875,GO:0005886,GO:0006475,GO:0006919,GO:0007267,GO:0007416,GO:0007611,GO:0007613,GO:0008017,GO:0010288,GO:0010506,GO:0010629,GO:0010917,GO:0015630,GO:0016072,GO:0016607,GO:0017124,GO:0019896,GO:0019899,GO:0019901,GO:0021954,GO:0030424,GO:0030425,GO:0030426,GO:0030673,GO:0030674,GO:0031110,GO:0031113,GO:0031116,GO:0031122,GO:0031175,GO:0032930,GO:0033044,GO:0033673,GO:0034063,GO:0034185,GO:0034399,GO:0034452,GO:0034605,GO:0034614,GO:0035091,GO:0036464,GO:0036477,GO:0042802,GO:0042803,GO:0043025,GO:0043197,GO:0043565,GO:0044297,GO:0044304,GO:0045121,GO:0045298,GO:0045773,GO:0046785,GO:0048018,GO:0048143,GO:0048167,GO:0048312,GO:0048699,GO:0050808,GO:0050848,GO:0051087,GO:0051259,GO:0051260,GO:0051721,GO:0051879,GO:0061564,GO:0070507,GO:0071813,GO:0072386,GO:0090140,GO:0090258,GO:0097386,GO:0097418,GO:0097435,GO:0098930,GO:0099077,GO:0099609,GO:1900034,GO:1900452,GO:1901216,GO:1902474,GO:1902936,GO:1902988,GO:1903748,GO:1903829,GO:1904115,GO:1904428,GO:1905689,GO:1990000,GO:1990090,GO:1990416,GO:2001020
P00441	5000	0.5	GO:0000187,GO:0000303,GO:0001541,GO:0001819,GO:0001890,GO:0001895,GO:0001975,GO:0002262,GO:0002576,GO:0004784,GO:0005507,GO:0005576,GO:0005615,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005758,GO:0005759,GO:0005764,GO:0005777,GO:0005829,GO:0006749,GO:0006801,GO:0006879,GO:0007283,GO:0007566,GO:0007569,GO:0007605,GO:0007626,GO:0008089,GO:0008090,GO:0008217,GO:0008270,GO:0009408,GO:0010033,GO:0019226,GO:0019430,GO:0030346,GO:0031012,GO:0031045,GO:0031410,GO:0032287,GO:0032839,GO:0032930,GO:0032991,GO:0033081,GO:0034465,GO:0034599,GO:0035722,GO:0035865,GO:0040014,GO:0042493,GO:0042542,GO:0042554,GO:0042802,GO:0042803,GO:0043025,GO:0043065,GO:0043085,GO:0043087,GO:0043209,GO:0043524,GO:0045471,GO:0045541,GO:0045859,GO:0046620,GO:0046688,GO:0046716,GO:0048365,GO:0048538,GO:0048678,GO:0050665,GO:0051087,GO:0051881,GO:0060047,GO:0060052,GO:0060087,GO:0060088,GO:0070062,GO:0071276,GO:0071318,GO:0072593,GO:0097332,GO:1902177,GO:1904115
P01375	5000	0.5	GO:0000060,GO:0000122,GO:0000165,GO:0000185,GO:0000187,GO:0000977,GO:0001819,GO:0001891,GO:0001934,GO:0001937,GO:0002020,GO:0002439,GO:0002740,GO:0002876,GO:0002925,GO:0005125,GO:0005164,GO:0005576,GO:0005615,GO:0005886,GO:0005887,GO:0006006,GO:0006357,GO:0006919,GO:0006954,GO:0006959,GO:0007249,GO:0007254,GO:0008625,GO:0008630,GO:0009615,GO:0009651,GO:0009897,GO:0009986,GO:0010628,GO:0010629,GO:0010693,GO:0010803,GO:0010888,GO:0014068,GO:0019221,GO:0030198,GO:0030316,GO:0030730,GO:0030866,GO:0031334,GO:0031622,GO:0031663,GO:0032715,GO:0032722,GO:0032729,GO:0032755,GO:0032757,GO:0032800,GO:0033138,GO:0033209,GO:0034116,GO:0035509,GO:0042802,GO:0043065,GO:0043068,GO:0043122,GO:0043123,GO:0043242,GO:0043243,GO:0043280,GO:0043406,GO:0043491,GO:0043507,GO:0044130,GO:0044212,GO:0045071,GO:0045080,GO:0045121,GO:0045416,GO:0045429,GO:0045599,GO:0045662,GO:0045668,GO:0045672,GO:0045732,GO:0045785,GO:0045860,GO:0045892,GO:0045893,GO:0045930,GO:0045944,GO:0045994,GO:0046325,GO:0048566,GO:0048661,GO:0050715,GO:0050754,GO:0050766,GO:0050768,GO:0050796,GO:0050830,GO:0050901,GO:0050995,GO:0051023,GO:0051044,GO:0051091,GO:0051092,GO:0051222,GO:0051384,GO:0051798,GO:0051897,GO:0055037,GO:0060557,GO:0060559,GO:0060664,GO:0060693,GO:0061048,GO:0070374,GO:0070886,GO:0071230,GO:0071316,GO:0071407,GO:0071550,GO:0071677,GO:0071803,GO:0072577,GO:0072659,GO:0090197,GO:0097191,GO:0097527,GO:1901224,GO:1901671,GO:1903140,GO:1903347,GO:1904707,GO:1904996,GO:1904999,GO:2000010,GO:2000304,GO:2000334,GO:2000343,GO:2001240
